,ProductName,Username,Reviews,Ratings
17,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Forbes,Very light refreshing smooth like silk. My skin sensitivity didn’t like it after a week.,5 out of 5 stars.
18,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Jac G,I have been using this moisturiser for a number of years and couldn't do without it. My skin always feels so hydrated and supple after use.,5 out of 5 stars.
19,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Manda16,So hydrating and feels great,5 out of 5 stars.
20,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Jobubbsy,Gentle on the skin and compliments other neutrogena products.,5 out of 5 stars.
21,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Ashdan,My skin gets very dry from air conditioning and being outside a lot,5 out of 5 stars.
22,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,iBeast6,"[This review was collected as part of a promotion.] The refill is very easy to replace, great little refill pod idea and this product is absolutely amazing!",5 out of 5 stars.
23,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Em893,"[This review was collected as part of a promotion.] I absolutely love the refill pod idea that Neutrogena has come up with, I haven’t  had to use it yet as I still have so much product left but its such a great way to save on unnecessary jars etc and its so easy to put in.",5 out of 5 stars.
24,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Em893,"[This review was collected as part of a promotion.] I've never tried a gel moisturiser before but so glad I did. After using this Neutrogena Hydro Boost Hyaluronic Acid Water Gel my skin feels more refreshed and plumper. You don’t need much, a little goes a long way. It glides over the skin, absorbs almost immediately and doesn't feel sticky or greasy. It leaves my skin feeling soft and hydrated. Highly recommend!",5 out of 5 stars.
25,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Clarebear918,[This review was collected as part of a promotion.] I love this refill! Its such a great idea and its super simple to change it over.,5 out of 5 stars.
26,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Clarebear918,"[This review was collected as part of a promotion.] Wow this product has improved the dull look in my face.   It has plumped it back 5 years prior.  Fine lines have vanished, I look so much more healthier. This water gel has been magical.",5 out of 5 stars.
27,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Bek19305,[This review was collected as part of a promotion.] Neutrogena Hydro Boost Hyaluronic Acid Water Gel Refill Pod are a great alternative to re purchasing a new Neutrogena Hydro Boost Hyaluronic Acid Water Gel day cream tub. It made me feel good to be reducing my environmental impact.,5 out of 5 stars.
28,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Bek19305,"[This review was collected as part of a promotion.] I was sceptical at first but after 2 weeks use of Neutrogena Hydro Boost Hyaluronic Acid Water Gel, I found my skin was softer and looking very healthy. Neutrogena Hydro Boost Hyaluronic Acid Water Gel visible reduced the fine lines around my eyes. The gel feels nice on my skin and absorbed quickly. I love how there are refill tubs available.",5 out of 5 stars.
29,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Shantellew4,"[This review was collected as part of a promotion.] A refill pod for facial products is such a good idea! It reduces a lot of packaging. Very innovative, I hope more and more follow suit!",5 out of 5 stars.
30,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Steph13,"[This review was collected as part of a promotion.] This is such a great idea, and something I don't see commonly. This is great, not just for the environment but from a money saving perspective also. It is very easy to use and swap out and makes a big difference to plastic wastage. A nice thought from such a large company, very impressed!",5 out of 5 stars.
31,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Steph13,"[This review was collected as part of a promotion.] What a game changer! This is an outstanding product to provide a level of hydration to your face that most brands I've tried in the past lack. Using this nightly, I could feel a dramatic difference each morning. My skin is typically a combination of oily and dry and this helped my skin feel plump and hydrating without feeling oily and breaking out. Most gels in the past have caused my skin to breakout however this product still felt very natural and comfortable on the skin. It was easy to wear each night and a product that I will continue to use.  My skin texture and overall moisture levels have increased significantly since trying this product and I am overall SO happy with my results.",5 out of 5 stars.
32,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,annamaita4,"[This review was collected as part of a promotion.] i love the refill pod idea , i havent had to use it yet as i still have so much product left but its such a great way to save on unecessary jars ect and its so easy to put in",5 out of 5 stars.
33,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,annamaita4,"[This review was collected as part of a promotion.] the Neutrogena Hydro Boost Hyaluronic gel is a product i have never tried before or seen anything like it, at first i was confused with its consistency but when i tell you i was SHOCKED, this gel goes onto my skin flawlessly leaving my skin feeling soft, hyrdrated andi cant even feel it. having combination skin sometimes moistrisers leave my skin feeling sticky and still dry. but i must say this gel is so innovative and absolutely worth every cent i will most definetly be re purchasing",5 out of 5 stars.
34,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Steph239,[This review was collected as part of a promotion.] I absolutely love that this product is replaceable with a refill pod. Such a great idea with less plastic container wastage. I hope more companies follow suit!,5 out of 5 stars.
35,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Steph239,[This review was collected as part of a promotion.] I am nearing my mid 30’s and always make sure I take care of my skin. I have tried so many different products over the years and honestly this Neutrogena water gel is amazing! I have really seen a difference basically from the first night using it. It really hydrates and makes my skin feel so soft.,5 out of 5 stars.
36,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Ella_C,This is by far the best face product. Plumps and smooths and hydrates. Don’t need much and reduces my wrinkles,5 out of 5 stars.
37,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Laumac5,[This review was collected as part of a promotion.] Such a fantastic idea to save on wasteful packaging. Looks great and overall a great product. Easy to use,5 out of 5 stars.
38,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Soph292,[This review was collected as part of a promotion.] After using this my skin feels more refreshed and plumper. I would highly recommend this for anyone.,5 out of 5 stars.
39,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Soph292,"[This review was collected as part of a promotion.] This is a great product, you don't need to buy another container this is simply the refill pod. Great for the environment",5 out of 5 stars.
40,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Sammie1,[This review was collected as part of a promotion.] I love the option of refilling the pod and saving the jar to reduce plastic waste. There is no difference to the final product for usage. Good on Neutrogena for implementing this initiative. Hopefully this will be expanded to more products and other companies should follow suit. (Please see my separate review of the Hydro Boost Gel for gel itself),5 out of 5 stars.
41,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Melly7,"[This review was collected as part of a promotion.] I absolutely love that this product has a refill which reduces packaging waste by 89%, I wish more companies were thinking this way! The original container is well built to be used time and time again and swapping the used container for a refill is a breeze!",5 out of 5 stars.
42,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Jill C R,"I've never tried a gel moisturiser before but so glad I did. You don’t need much, a little goes a long way. It glides over the skin, absorbs almost immediately and doesn't feel sticky or greasy. It leaves my skin feeling soft and hydrated. The bonus is it can be used am and pm. I won't use anything else now.",5 out of 5 stars.
43,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Casmel1,[This review was collected as part of a promotion.] I love the refill pack. It’s easy to use and love the fact you save on packaging by being able to just replace it with a refill.,5 out of 5 stars.
44,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Casmel1,"[This review was collected as part of a promotion.] I love this gel. It is very lightweight when applying to skin and gives a refreshed feeling. Only a tiny bit goes a long way and it feels so light to put on. The smell is beautiful as well, reminds me of a day spa very refreshing. I’ve used it morning and night and any time I feel I need to freshen my face.",5 out of 5 stars.
45,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Brerobb2,[This review was collected as part of a promotion.] Such a good idea to include refill pods for these creams. Beauty products contribute so much waste to the environment and using the refill pods reduces the product waste significantly! A win for the environment is a win for me.,5 out of 5 stars.
46,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Bre29073,[This review was collected as part of a promotion.] Great idea for lowering the use of plastic! So simple yet so effective. The pod simply unscrews and you replace it. Easy to use and better for the environment,5 out of 5 stars.
47,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Bre29073,"[This review was collected as part of a promotion.] Excellent product, lightweight formula that absorbs right into my skin and doesn’t leave my face oily. Skin is left feeling more plump and hydrated. Would recommend to any age male or female",5 out of 5 stars.
48,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,SDTJGCBKC7,"[This review was collected as part of a promotion.] Easy to use, I like that you don’t have to throw out the whole jar to replace what has been used",5 out of 5 stars.
49,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,SDTJGCBKC7,"[This review was collected as part of a promotion.] I was very surprised how well this works I have super oily skin that I could literally shine a pair of boots. I put it on and it did not feel greasy or oily feeling, it made my skin look and feel great all day even when wearing a mask all day for work my face look and felt great it felt super hydrated and less oily which was nice. Love that you don’t need to use much like 3 little dots on your face is more than enough it spreads well.",5 out of 5 stars.
50,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Unique1019,[This review was collected as part of a promotion.] I think this is a billiant idea and innovation. Not only are you helping the enviroment by using a refill and minimising plastic waste but you feel great using the product. As a consumer i support companies that consider the wellbeing and sustainability of our enviroment,5 out of 5 stars.
51,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Unique1019,"[This review was collected as part of a promotion.] The product felt indulgent, you get this instand fresh feel when its applied. It absorbs quickly into the skin so your skin doesnt look greasy but rather plump and glowing. I highly recommend this for anyone who doesnt have time for a skin care routine.",5 out of 5 stars.
52,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,theo11,"I bought this product by chance , Due to the product , i was using  from Avene was discontinued and i love this product.",5 out of 5 stars.
53,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Ains,"I remember buying this from my local chemist, it was an affordable price for what it does. it made my skin feel so highdrated and very smooth, love the way the product glides along my skin. i have gone through 2 containers of this moisturiser and would totally stick with this product !",5 out of 5 stars.
54,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,lily1234,"I have really dry but also sensitive skin, and this has been the best product for me. My skin is always super soft and plump and I’ve had endless compliments since using the product. Also works as a primer!",5 out of 5 stars.
55,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Pisces,"I had used one product for 15 years on my face through the day,suddenly noticed little dry patches,tried this Gel,it goes on lightly and feels instantly absorbed,fresh fragrance,ideal for those of us who tend to get clammy skin in humid weather.",5 out of 5 stars.
56,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Ammy,The water gel is very lightweight & makes my skin look very clean & clear. I highly reccomend this to anyone who has oily skin or just need a moisturiser to keep their face hydrated,5 out of 5 stars.
57,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Jarrod,"My friend recommended this gel to me as I hate the feeling of cream on my face, but want to look after my skin. On the first use, WOW, my skin instantly looked much better after 15 minutes. The smell is subtle yet nice and it absorbs perfectly into my skin. It helped with the bags I was getting unfer my eyes due to stress and anxiety as well. I am so happy i have found a face gel that works for me at an affordable price !",5 out of 5 stars.
58,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Alley22,I bought this product 1 week ago and i have very dry skin. It has work so well that I have it makes my face look clean and fresh. I no longer have the dry skin I had before and I don’t see any dry skin that I would sometimes get under my makeup.,5 out of 5 stars.
59,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Sare,"I have been using this product for 3 months now... The best decision I made for my skin! It’s a great hydrator and it doesn’t leave your skin oily or feeling heavy. Better yet, I don’t get break outs because of it!",5 out of 5 stars.
60,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Mojo,Hydrates my skin without any oil residue. Doesn’t cause me to break out like other products. it is refreshing after a long day at work.,5 out of 5 stars.
61,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Abby12,Use it everyday it works so well for my skin and helps it keep nice and fresh during the day.,5 out of 5 stars.
62,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Ritu,I used Neutrogena sunscreen. And wanted to try this night cream. I looked all the reviews of customers online. And thought to try this one. But after using it I really feel like my skin is happy or say bubbly. My skin is so comfortable and smooth with this gel. I just loved it. I definitely won’t have second thoughts for using this brand. Its simply miracle. Loved it.,5 out of 5 stars.
63,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,BerniKT7,Worth the money.. had come down with a sickness and skin was dryin out on face. As soon as I used this product... Healed.,5 out of 5 stars.
64,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Aliroze,"I got this as a sample, I’m a Clinique user due to sensitive skin but I even get a stinging sensation from their products. So I tried this and NO tingling or stinging and my skin feels gorgeous. The price is kinder as well. My new go to.",5 out of 5 stars.
65,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,jasmini,I came to this website to see what other products in this range I could try out because I love this moisturiser so much. Its fast absorbing and its light and it hydrates my skin and keeps it soft and youthful!,5 out of 5 stars.
66,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Aetain,"I have combination skin, don't wear make up, and never had many problems with it until I started working in an office with amped up air-conditioning. For reference, I have a blanket and wheat bag in my drawer, and an actual heater under my desk it gets so cold, especially in summer. It really dried out my skin, which caused my T zone to go into overdrive producing oil while my cheeks got really flakey, and I had breakouts all over my chin, jawline, neck and forehead. I never got breakouts, even when I was going through puberty, so this was totally new territory for me in my late 20s. I'd never had a skin routine because I never needed one, I literally just washed with water in the shower and occasionally used a face scrub.After trying many moisturizers over the last 3 years (both cheap and expensive) and finding they'd usually make my skin worse, I got this on a whim about 2 months ago and it's been a dream from day one. Within 24 hours, my latest breakout was clearly smaller, totally cleared up within a week, and I haven't had a single breakout since. My skin stays matte all day, no oilyness, no dryness, no breakouts, it's perfect. It's even helped with the black, puffy circles under my eyes from late night gaming sessions. I've been getting heaps of compliments about my skin from coworkers as well which has been a nice change from ""Oh, that looks painful!"" and unwanted advice when they'd notice a big pimple.",5 out of 5 stars.
67,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Freya,I got this product from a dermatologist as a sample and let me tell you it's just brilliant.It hydrates and leaves it silly smooth,5 out of 5 stars.
68,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Aamin,This is super good especially during winter! I have been using this product for 8 months and it super moisturise my skin.Pair it with the hydroboost gel cleanser and say no more to dry flaky winter skin.,5 out of 5 stars.
69,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Georgie92,This lightweight gel is so amazing on my skin its the perfect texture and leaves my skin hydrated,5 out of 5 stars.
70,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Amy4,I hate creams that are heavy and make my skin feel greasy.I tried this in the regular cream it was so lightweight and my skin felt amazing so now i habe the night cream too!,5 out of 5 stars.
71,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,ShadowShaker,"I love this product, my skin soaks it up like a sponge!It's also a great makeup primer!I'm wondering though, as there's no mention of it on the packaging or the jar itself, does it have an SPF as well?I have fair skin, and hate putting greasy block out on, it ends up getting into my eyes.Does anyone know if the Hydro Boost Water Gel (jar) have an SPF in it?I know they have added it to another of their Water Gel products SPF 15 Living in Australia, we have to protect ourselves from the sun  - no choice.",5 out of 5 stars.
72,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Chant,"I have always battled to find a good moisturizer for my combination skin. However when I tried this product I was super happy and started seeing results as little as the first week. Its a beautiful product, which is light and moisturizers at the same time. Your skin feels hydrated and fulfilled. I highly recommend this product.",5 out of 5 stars.
73,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Anonymous,"I've been using this as a moisturiser for the past year for my oily/acne prone skin and I absolutely love it!! It's lightweight, absorbs into my skin fast, and so moisturising and soothing. If you have acne definitely try this out, I've found now that I'm putting much needed moisture back into my skin, my skin doesn't get as oily or greasy. Love it",5 out of 5 stars.
74,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,BEX064,"I have been using this moisturiser for about a year now and I'm in love with it! I have never had so many wonderful compliments on my skin. It's softer, it's smoother and my pores never get clogged. I love the cool-feeling of the gel on my skin, especially in summer. It goes on smooth and keeps my skin moisturised all day long. It smells incredible and it's so lightweight that I never feel greasy or shiny.My favourite product ever!!",5 out of 5 stars.
75,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Rana,"I have oily and sensitive skin which intends to get breakouts quickly if I use oily/heavy products. I have tried many different brands (including very expensive ones) hoping that I can find a cream which can lightly moisture my skin without leaving me with greasy feeling but couldn't find any till I accidently discovered this one. it is very light, but at the same time with the great power of moisturising. My skin glows and feels healthy every time I use this lovely product. I wish that I have found this much earlier...",5 out of 5 stars.
76,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,maddy91,"I have an extremely dry skin and after trying loads of products I stumbled upon this. Frankly speaking I have never been this impressed with a product. I bought this last week and within few days I can see a huge difference. My skin never dries, stays hydrated the whole day and I feel great! :)",5 out of 5 stars.
77,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Jesereal,What an awsome product! On my third tub now of Neutrogena Hydro Boost my breakouts is gone. Best Solution for oily skin. Definitely Recommend 100%,5 out of 5 stars.
78,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,erstxrcytv,omg i dont think you understand this hydrated my skin so well and i loved putting it on every morning. just amazing!!!!!!!!!,5 out of 5 stars.
79,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,VJL75,"I bought this after seeing people talking about it online. I have oily skin that is texturised and with an uneven skin tone. Since using this my skin feels less oily and really hydrated. I am having less breaks outs and my skin tone is starting to balance out. Would highly recommend to any one with oily skin to give this a go. I had read sometimes you break out and become super oily because your skin is actually dry and is trying to compensate, well I think that was my skin.",5 out of 5 stars.
80,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Garfield 80,"I had used the Neutrogena Hydro Boots Water Gel Day and night Cream, More than 1.5 year. Is really good products, especially in Australia the weather really dry, for lady should use it.I love this products the cream not too rich, and moisture up to more than 5hrs.Other brands are expensive too rich, easy get dry.I love this brand for long time.Keep on going to use it.",5 out of 5 stars.
81,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,shae,"omg i got my little sample in bellabox and absolutely love it , i have dry skin and its just and instant hit of moisture onto my skin",5 out of 5 stars.
82,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Treez,[This review was collected as part of a promotion.] This worked wonders on my skin. Also when i used with the otger products.,5 out of 5 stars.
83,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,MumOf2_623000,"[This review was collected as part of a promotion.] Easy To Use, Effective, Good Value, Lightweight & Smells Great",5 out of 5 stars.
84,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Love it,[This review was collected as part of a promotion.] This does actually feel like wearing something as light as water! I love how the product absorbs in leaving your skin feeling so light and refreshed. No greasy after residue. Just fresh feeling skin!,5 out of 5 stars.
85,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Proudmummyof7,[This review was collected as part of a promotion.] NEUTROGENA® Hydro Boost Water Gel 50g Made my skin feel fresh and supple my skin has never felt better,5 out of 5 stars.
86,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,J123456_569442,[This review was collected as part of a promotion.] I loved the neutrogena hydro water gel. I loved how it moisturised my face and left it feeling soft and smooth.,5 out of 5 stars.
87,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Hamer,"[This review was collected as part of a promotion.] Product refreshing, my skin feels smooth and clean ready for an action day.",5 out of 5 stars.
88,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Frances_774638,"[This review was collected as part of a promotion.] I loved the presentation, and the cream was easy to apply evenly. It soaked in quickly and had a lovely light scent. I'll keep using this for sure",5 out of 5 stars.
89,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Snoopy418,[This review was collected as part of a promotion.] Extremely moist and easy to apply. Have a small scent of Aqua and skin feel so nice and energetic after applying. The packaging looks nice as well.,5 out of 5 stars.
90,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Tash2015,"[This review was collected as part of a promotion.] Excellent. My experience of the Hyrdo Boost Water Gel was just excellent. I pack it in my handbag and it apply it all over my face a few times per day. If I am in the office and need a ""pick me up"" this is my product of choice.",5 out of 5 stars.
91,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,mish82,[This review was collected as part of a promotion.] This is a nice and hydrating water gel with great fragrance,5 out of 5 stars.
92,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Lyndal,[This review was collected as part of a promotion.] My skin feels more hydrated than ever before. I love it!,5 out of 5 stars.
93,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Gilbert13,"[This review was collected as part of a promotion.] Love this day gel cream and truly leaves to it's product.This day cream really locks in hydration deep within my skin and my skin feels hydrated throughout the day. I really notice a big difference to my face during application it feels gentle,smooth making my make-up look more natural. Few of my friends have commented on how my face is looking fantastic and I recommend them to try the Netrogena products. I am switching over now to Neutrogena products due to my trialling of their product .Neutrogena has definitely brought a whole new and overall fantastic Creams that everyone should try.",5 out of 5 stars.
94,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Nemo1_562193,[This review was collected as part of a promotion.] Very nourishing cream. I suffer from dry skin and found that applying this every morning and the night cream every night was enough to keep my skin hydrated.,5 out of 5 stars.
95,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Krys_590105,[This review was collected as part of a promotion.] I absolutely loved Neutrogena Hydro Boost Water Gel. My skin remained visually fresh throughout the day which allowed my make up look flawless and last longer. Can not recommend this product enough.,5 out of 5 stars.
96,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Karen77_622924,[This review was collected as part of a promotion.] I lived that it absorbed into my skin so easily and didn't leave me feeling greasy!,5 out of 5 stars.
97,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Kath3_596305,[This review was collected as part of a promotion.] Felt beautiful on and made my skin feel rehydrated,5 out of 5 stars.
98,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,topdeck_572547,"[This review was collected as part of a promotion.] I'm a first time user of anything neutrogena. I love this product!!This gel makes my face feel nice and soft after use, the hydro boost water gel is soft on my skin, glides evenly and doesn't feel oily at, I highly recommend, will be buying this product from now on",5 out of 5 stars.
99,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Sam_772760,[This review was collected as part of a promotion.] This water gel was beautiful to apply with a smooth texture. My skin felt soft and hydrated.,5 out of 5 stars.
100,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,Nay_618165,[This review was collected as part of a promotion.] I will be sticking with this one. Actually all neutrogena from now on. My skin felt instantly hydrated & youthful,5 out of 5 stars.
101,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,emptys_561483,"[This review was collected as part of a promotion.] What an awesome product, it smells fantastic, it's easy to use. best of all it does what it says it does on the packaging. My skin is so moisturised and has not been dry since I started using this hydro boost water gel. It sits nice and light on my skin and is refreshing, my skin stays moisturised all day I've never had to reapply for the rest of the day... So happy I've found this product, no more dry skin or clogged creams for me....",5 out of 5 stars.
